garden_Plant_ID,,C002,,,C003,,,C004,,,C005,,,C006,,,C007,,,C008,,,C009,,,C010,,,C011,,,C012,,,C013,,,C014,,,C015,,,C016,,,C017,,,C018,,,C019,,,C020,,,C021,,,C022,,,C023,,,C024,,,C025,,,C026,,,C027,,,C028,,,C029,,,C030,,,C031,,,C032,,,C033,,,C034,,,C035,,,C036,,,C037,,,C038,,,C039,,,C040,,,C041,,,C042,,,C043,,,C044,,,C045,,,C046,,,C047,,,C048,,,C049,,,C050,,,C051,,,C052,,,C053,,,C054,,,C055,,,C056,,,C057,,,C058,,,C059,,,C060,,,C061,,,C062,,,C063,,,C064,,,C065,,,C066,,,C067,,,C068,,,C069,,,C070,,,C071,,,C072,,,C073,,,C074,,
195,,3.1802,2717.448,11.69,3.6676,3531.621,15.19,,,,,,,,,,,,,,,,,,,12.1322,728.862,3.13,,,,,,,13.7579,752.356,3.24,,,,,,,14.8315,642.15,2.76,,,,,,,15.8154,1205.229,5.18,,,,,,,16.9745,1867.424,8.03,,,,,,,17.738,384.223,1.65,,,,,,,,,,18.562,726.247,3.12,18.6416,552.208,2.38,18.8752,290.107,1.25,,,,,,,19.946,193.138,0.83,20.0228,219.681,0.94,,,,,,,20.8271,221.801,0.95,21.0972,4608.996,19.82,21.2998,717.364,3.09,21.4576,271.968,1.17,21.5268,97.94,0.42,,,,21.6812,1317.079,5.66,21.9213,265.869,1.14,,,,,,,,,,23.1453,430.651,1.85,,,,,,,,,,23.6623,265.889,1.14,23.7347,58.121,0.25,,,,,,,24.045,115.182,0.5,24.1761,79.008,0.34,,,,,,,,,,,,,,,,,,,25.9694,355.023,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,3.0453,290.918,0.87,3.6741,3028.827,9.01,,,,,,,7.3138,784.65,2.33,9.9243,258.479,0.77,,,,,,,12.1416,1148.948,3.42,,,,13.173,180.947,0.54,13.7627,440.78,1.31,,,,,,,14.8835,3436.386,10.22,,,,,,,15.8139,782.993,2.33,,,,,,,16.9831,1944.759,5.79,,,,,,,17.8007,3008.677,8.95,17.961,968.385,2.88,,,,,,,18.5608,323.232,0.96,18.6412,322.874,0.96,18.9178,1182.131,3.52,19.3498,85.39,0.25,,,,,,,,,,,,,20.6004,179.536,0.53,20.86,1256.01,3.74,21.0934,3762.332,11.19,21.3065,512.04,1.52,21.4889,315.582,0.94,,,,,,,21.7529,6929.535,20.62,21.965,197.055,0.59,,,,22.6705,84.16,0.25,,,,23.153,137.927,0.41,23.2853,231.061,0.69,23.4516,594.52,1.77,,,,,,,23.7455,255.4,0.76,,,,,,,24.0136,135.513,0.4,,,,,,,,,,,,,,,,25.3988,58.586,0.17,,,,25.9713,159.507,0.47,,,,,,,26.6193,121.486,0.36,,,,,,,27.0369,77.114,0.23,,,,,,,,,
211,,3.0691,70.689,0.32,3.6836,2133.093,9.65,,,,,,,7.3213,457.99,2.07,,,,,,,,,,12.1361,569.955,2.58,,,,,,,13.7667,676.584,3.06,,,,,,,14.8601,1924.849,8.7,,,,,,,15.7875,241.134,1.09,,,,,,,16.9768,1634.245,7.39,,,,,,,17.8223,4736.041,21.42,17.9607,794.962,3.59,,,,,,,18.5593,365.276,1.65,18.6403,335.791,1.52,18.8642,235.877,1.07,,,,,,,,,,,,,,,,,,,20.8359,705.5,3.19,21.0691,2771.851,12.53,21.3057,708.537,3.2,21.4501,295.189,1.33,,,,,,,21.6749,161.327,0.73,21.912,106.818,0.48,,,,,,,,,,,,,23.2775,83.311,0.38,23.4432,385.03,1.74,,,,,,,23.7401,179.477,0.81,,,,,,,24.01,149.514,0.68,,,,,,,,,,,,,,,,25.397,168.755,0.76,,,,25.9723,488.424,2.21,,,,26.4868,346.938,1.57,26.6262,765.893,3.46,,,,,,,,,,,,,,,,,,
217,,3.0431,1014.584,8.23,3.6689,1118.436,9.07,,,,,,,,,,,,,,,,,,,12.134,1860.885,15.09,,,,13.1648,196.481,1.59,13.7547,631.27,5.12,,,,,,,14.8501,2084.036,16.9,,,,,,,,,,,,,,,,16.9557,1099.829,8.92,,,,,,,17.7285,179.015,1.45,17.9207,168.01,1.36,,,,18.5368,197.681,1.6,18.616,177.078,1.44,,,,,,,,,,,,,,,,,,,,,,,,,20.808,377.855,3.06,21.0447,2148.077,17.42,,,,21.4333,221.679,1.8,,,,,,,21.6557,178.95,1.45,21.9013,93.578,0.76,,,,,,,,,,23.1243,210.666,1.71,,,,23.4303,98.131,0.8,,,,,,,23.7315,122.58,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4761,88.01,0.71,,,,,,,,,,,,,,,,,,,,,
219,,3.0422,702.158,2.05,3.667,2922.323,8.53,,,,,,,7.3187,482.832,1.41,,,,,,,11.9585,237.068,0.69,12.1351,1412.122,4.12,,,,,,,13.7641,1219.715,3.56,,,,,,,14.9572,11026.333,32.17,,,,,,,,,,,,,,,,16.9828,2042.547,5.96,,,,,,,17.7388,166.073,0.48,17.9482,1073.216,3.13,,,,,,,18.5491,218.485,0.64,18.6293,216.31,0.63,,,,19.34,128.404,0.37,,,,,,,20.036,236.596,0.69,,,,,,,20.8943,3435.645,10.02,21.1018,4704.959,13.73,,,,21.4628,295.578,0.86,,,,21.6158,102.919,0.3,21.6593,182.578,0.53,21.9147,143.037,0.42,,,,,,,22.983,192.177,0.56,23.1586,444.244,1.3,23.2789,177.246,0.52,23.4447,588.051,1.72,23.6215,106.411,0.31,,,,23.7389,370.283,1.08,,,,,,,24.0092,203.922,0.59,,,,,,,,,,,,,,,,,,,,,,25.9691,342.077,1,,,,26.4802,87.045,0.25,,,,,,,,,,,,,,,,,,,,,
220,,3.0649,1174.152,2.87,,,,,,,,,,,,,,,,,,,,,,12.1409,1977.441,4.83,,,,13.1927,2248.604,5.49,13.7897,3051.724,7.45,,,,,,,14.8717,958.741,2.34,,,,,,,15.8611,1151.945,2.81,16.3796,238.934,0.58,16.6786,250.595,0.61,17.0947,12647.732,30.87,,,,,,,,,,17.9576,475.854,1.16,,,,18.3684,258.3,0.63,,,,,,,18.9344,1528.3,3.73,,,,,,,,,,,,,,,,,,,,,,21.1682,11082.368,27.05,,,,,,,21.5402,176.019,0.43,,,,21.6792,894.75,2.18,21.9417,1053.784,2.57,,,,,,,,,,23.1167,724.504,1.77,,,,,,,,,,,,,,,,,,,,,,24.0481,148.643,0.36,,,,,,,,,,,,,,,,,,,,,,25.9704,343.135,0.84,,,,,,,26.6162,156.731,0.38,,,,,,,,,,,,,,,,,,
253,,3.0404,922.254,3.08,3.6666,965.987,3.23,,,,,,,,,,,,,,,,,,,12.1273,171.789,0.57,,,,13.1726,353.235,1.18,13.7801,2181.53,7.29,14.1202,423.854,1.42,,,,14.8602,2330.937,7.79,,,,,,,,,,16.3759,138.895,0.46,16.6739,136.882,0.46,17.037,6427.86,21.49,,,,,,,17.7019,465.057,1.55,17.9423,433.636,1.45,,,,18.3869,373.116,1.25,18.547,122.737,0.41,18.6271,120.815,0.4,,,,,,,,,,,,,,,,,,,,,,20.8792,536.077,1.79,21.163,10687.644,35.74,,,,21.4401,157.577,0.53,21.5346,181.39,0.61,,,,21.6918,517.487,1.73,21.9277,690.931,2.31,,,,,,,,,,23.1522,191.733,0.64,,,,,,,,,,,,,,,,,,,,,,24.0469,244.335,0.82,,,,,,,,,,,,,,,,25.4916,240.932,0.81,,,,25.9691,252.698,0.84,,,,,,,26.6164,229.473,0.77,,,,,,,,,,,,,,,,,,
261,,3.0587,1266.913,2.92,3.6673,743.933,1.71,,,,,,,,,,,,,,,,,,,12.1225,341.429,0.79,,,,,,,13.7547,433.667,1,14.2735,3000.759,6.91,14.5384,378.289,0.87,14.856,1546.884,3.56,,,,,,,15.9052,1920.362,4.42,,,,,,,16.9745,1455.556,3.35,,,,17.4151,198.153,0.46,17.8391,2159.221,4.97,,,,18.2456,19770.233,45.52,18.496,1572.203,3.62,18.5927,86.483,0.2,,,,18.9444,1842.354,4.24,,,,,,,,,,,,,20.3706,123.692,0.28,,,,20.8359,542.949,1.25,21.0705,2120.434,4.88,,,,,,,,,,,,,21.7075,2728.412,6.28,21.9359,121.25,0.28,22.0782,165.264,0.38,,,,,,,23.1134,408.29,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9669,133.399,0.31,,,,,,,26.6144,128.862,0.3,26.757,187.175,0.43,,,,,,,,,,,,,,,
266,,3.0692,183.83,0.58,3.6729,1091.337,3.46,,,,,,,,,,,,,,,,,,,12.1367,1066.19,3.38,,,,13.1702,403.886,1.28,13.7745,1985.9,6.3,,,,,,,14.923,7553.838,23.97,,,,15.4065,113.01,0.36,,,,16.3715,131.194,0.42,,,,17.0235,5150.629,16.34,,,,,,,17.738,131.874,0.42,17.9427,869.059,2.76,,,,,,,18.5543,360.534,1.14,18.6346,347.739,1.1,,,,19.3389,90.763,0.29,,,,,,,20.04,406.35,1.29,,,,,,,20.8522,768.866,2.44,21.1302,7542.462,23.93,,,,21.4591,123.868,0.39,21.5314,72.858,0.23,,,,21.6823,249.037,0.79,21.9199,463.36,1.47,22.2602,113.395,0.36,,,,,,,23.1217,553.617,1.76,23.2772,143.837,0.46,23.4382,198.089,0.63,,,,,,,23.734,90.848,0.29,,,,,,,24.0459,148.305,0.47,,,,,,,,,,,,,,,,25.4869,141.477,0.45,,,,25.9672,116.384,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,3.0425,681.533,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7542,151.565,0.66,,,,,,,14.7666,2914.587,12.66,,,,15.3845,107.729,0.47,,,,16.3714,155.77,0.68,16.6751,750.139,3.26,16.9615,1128.008,4.9,,,,,,,,,,17.9469,488.913,2.12,,,,,,,,,,,,,,,,19.7551,5090.847,22.11,,,,,,,20.072,1228.265,5.34,,,,,,,,,,,,,,,,,,,,,,,,,21.7168,148.364,0.64,21.9281,555.362,2.41,,,,,,,,,,23.1211,390.773,1.7,,,,,,,,,,,,,,,,,,,,,,24.0462,93.55,0.41,24.1394,3156.527,13.71,,,,,,,,,,,,,,,,,,,25.967,116.336,0.51,,,,,,,26.6182,203.425,0.88,,,,,,,,,,,,,,,,,,
387,,3.2376,1515.106,4.59,3.6777,5217.084,15.81,,,,,,,,,,,,,,,,,,,12.1647,4121.907,12.49,,,,,,,,,,,,,,,,14.8537,1727.829,5.24,,,,,,,15.8201,1009.174,3.06,,,,,,,16.972,1622.218,4.92,17.1565,213.609,0.65,,,,17.8255,5237.582,15.88,17.9484,353.212,1.07,,,,,,,18.5988,1702.391,5.16,18.6778,1052.62,3.19,18.8742,292.623,0.89,,,,,,,19.942,473.328,1.43,20.0287,365.583,1.11,,,,,,,20.8271,802.995,2.43,,,,21.3467,3017.507,9.15,21.4787,495,1.5,,,,,,,21.678,1335.936,4.05,21.9218,163.142,0.49,,,,,,,,,,23.1188,508.95,1.54,,,,23.4382,181.497,0.55,,,,23.6651,179.997,0.55,23.7394,125.944,0.38,,,,,,,24.0097,112.684,0.34,,,,,,,,,,,,,,,,,,,,,,25.9676,304.25,0.92,,,,26.5005,97.268,0.29,,,,,,,,,,,,,,,,,,,,,
391,,3.0574,676.869,2.34,3.673,3106.537,10.72,,,,,,,,,,,,,,,,,,,12.1366,1344.376,4.64,,,,13.1657,187.493,0.65,13.7568,482.328,1.66,,,,,,,14.9052,5845.966,20.18,,,,,,,15.7913,328.218,1.13,,,,,,,16.9805,2182.137,7.53,,,,,,,17.7658,1607.957,5.55,17.9539,1276.695,4.41,,,,,,,18.5559,450.168,1.55,18.6349,333.156,1.15,,,,,,,,,,19.9495,116.562,0.4,20.0302,267.966,0.93,,,,,,,20.8699,1950.976,6.73,21.1027,5136.517,17.73,21.3033,715.211,2.47,21.4516,234.261,0.81,,,,21.6097,153.281,0.53,21.6605,227.667,0.79,21.915,243.608,0.84,,,,22.6661,136.598,0.47,22.9811,113.391,0.39,23.1186,333.177,1.15,23.2739,59.483,0.21,23.4368,217.57,0.75,,,,,,,23.7333,120.555,0.42,,,,,,,24.0052,64.602,0.22,,,,,,,,,,,,,,,,,,,,,,25.9666,207.371,0.72,,,,26.4797,141.958,0.49,26.6139,85.247,0.29,,,,,,,,,,,,,,,,,,
401,,3.0397,760.501,8.03,,,,,,,,,,,,,,,,,,,,,,12.1227,273.098,2.89,,,,13.1617,254.593,2.69,13.7558,884.708,9.35,,,,,,,14.8445,1875.573,19.81,,,,,,,,,,,,,,,,16.9538,1134.304,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8135,366.296,3.87,21.0582,2904.006,30.68,,,,21.5151,175.369,1.85,,,,,,,,,,21.8971,119.681,1.26,,,,,,,,,,23.1448,222.511,2.35,,,,23.432,72.414,0.77,,,,,,,23.7325,82.39,0.87,,,,,,,24.0419,121.628,1.28,,,,24.3997,138.278,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,3.0539,576.536,1.26,3.6741,844.794,1.85,,,,,,,,,,,,,,,,,,,12.139,1305.78,2.86,,,,13.1714,171.284,0.37,13.7561,403.256,0.88,,,,,,,14.8793,3446.862,7.55,,,,,,,15.8981,2116.53,4.63,,,,,,,17.0096,3740.5,8.19,,,,,,,,,,,,,18.2732,24882.265,54.47,18.4424,67.073,0.15,18.5903,87.615,0.19,18.6632,78.354,0.17,18.9419,2270.793,4.97,,,,,,,,,,20.0379,110.39,0.24,,,,,,,20.892,464.235,1.02,21.0475,1289.585,2.82,,,,21.4546,163.338,0.36,,,,,,,21.6693,830.633,1.82,21.9199,280.166,0.61,22.0723,172.746,0.38,,,,,,,23.1671,619.566,1.36,23.2757,66.332,0.15,23.4355,69.87,0.15,,,,,,,,,,,,,,,,,,,24.095,110.592,0.24,,,,,,,,,,25.2694,83.658,0.18,,,,,,,25.9685,263.289,0.58,,,,26.4796,96.726,0.21,26.6146,169.98,0.37,,,,,,,,,,,,,,,,,,
