"Description","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"NMT.1.6_2021",2737.233,137.376,NA,NA,NA,NA,425.832,NA,NA,NA,135.67,NA,NA,NA,NA,NA,266.962,NA,1214.072,NA,NA,NA,NA,NA,875.124,131.306,302.578,NA,NA,NA,95.315,NA,NA,NA,791.96,2081.204,330.626,72.471,940.644,NA,159.266,NA,NA,142.741,NA,NA,NA,NA,132.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.6_2021",6420.564,124.224,NA,NA,127.794,NA,839.952,NA,NA,NA,421.248,103.604,NA,NA,116.438,NA,2010.95,478.951,3584.148,177.048,NA,NA,4989.049,NA,1256.904,969.07,2039.213,131.601,NA,NA,454.988,328.098,NA,NA,341.13,4978.763,NA,683.376,287.455,4362.849,NA,324.554,NA,212.858,NA,NA,67.25,167.322,70.38,163.3,NA,NA,327.464,NA,NA,NA,NA,NA,NA,80.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.9_2021",629.702,NA,NA,NA,NA,NA,125.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.303,134.465,NA,526.92,NA,NA,NA,NA,193.43,NA,NA,NA,NA,298.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.5_2021",4194.44,196.533,NA,NA,NA,NA,387.158,NA,NA,NA,220.184,NA,NA,NA,NA,NA,2137.651,NA,2157.467,NA,NA,NA,NA,NA,590.183,400.721,763.551,NA,NA,NA,141.379,NA,NA,NA,1117.307,3923.778,430.425,575.916,NA,6984.852,NA,304.532,NA,174.704,136.153,NA,54.167,70.854,146.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.4_2021",2113.387,176.067,NA,NA,NA,NA,NA,NA,NA,NA,129.507,NA,NA,NA,NA,NA,236.273,244.088,2361.011,NA,NA,NA,NA,NA,503.035,303.682,NA,97.367,NA,NA,182.12,177.813,NA,NA,1592.583,1153.313,390.289,77.968,316.944,NA,434.962,NA,NA,NA,NA,NA,NA,NA,83.337,NA,NA,NA,93.993,NA,NA,NA,NA,NA,NA,474.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NVV.2.5_2021",3659.919,151.771,548.261,NA,NA,NA,1349.769,NA,133.055,707.196,1729.285,NA,159.693,NA,NA,NA,NA,883.674,283.651,18450.698,NA,NA,NA,NA,1355.268,197.537,NA,323.155,NA,NA,144.976,238.642,NA,NA,1551.751,NA,NA,411.147,947.947,NA,1215.5,NA,NA,335.277,NA,NA,NA,NA,NA,NA,NA,NA,183.416,NA,NA,NA,NA,NA,NA,308.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.1_2021",12897.905,159.96,NA,231.662,NA,NA,852.997,NA,NA,150.968,244.547,212.369,NA,NA,NA,NA,1904.499,1189.132,510.652,251.548,NA,NA,12778.09,NA,1352.964,1628.808,943.448,NA,NA,NA,680.4,NA,NA,NA,536.482,5400.92,NA,470.647,952.102,NA,82.957,NA,NA,437.25,126.874,NA,113.413,262.815,108.667,207.771,NA,NA,167.727,NA,128.489,NA,NA,NA,NA,155.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.7_2021",4427.94,167.614,567.036,NA,NA,NA,599.557,NA,NA,135.666,788.14,NA,NA,NA,NA,NA,609.706,147.625,2752.092,110.621,NA,NA,4000.412,NA,474.055,772.422,399.061,NA,NA,129.935,290.413,167.868,NA,NA,1333.352,1215.762,1279.914,172.067,291.244,NA,205.83,NA,NA,NA,NA,117.765,NA,114.37,105.392,52.837,NA,NA,90.624,NA,NA,NA,NA,NA,NA,274.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.8_2021",1494.619,109.172,202.339,NA,NA,NA,NA,NA,NA,NA,462.41,NA,NA,NA,NA,NA,1138.07,NA,949.447,NA,NA,NA,NA,9443.525,116.255,NA,1781.843,NA,NA,NA,NA,283.597,NA,NA,143.848,1672.479,NA,259.243,2028.461,NA,128.95,NA,121.428,NA,111.439,NA,NA,NA,NA,NA,NA,NA,191.574,NA,NA,NA,NA,NA,NA,85.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.10_2021",5289.079,139.655,NA,1163.351,NA,NA,240.956,NA,NA,NA,NA,89.277,NA,NA,NA,NA,1883.68,358.543,501.985,NA,NA,NA,2717.657,NA,356.653,632.192,769.827,NA,NA,NA,479.753,NA,NA,NA,266.193,1425.997,NA,610.538,NA,9528.307,NA,NA,NA,NA,NA,335.811,1126.51,115.136,98.957,119.264,NA,NA,67.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.1.5_2021",4464.509,NA,NA,782.047,NA,NA,274.444,NA,NA,NA,156.262,NA,NA,NA,NA,NA,1743.886,159.604,2576.322,NA,NA,NA,NA,NA,454.86,687.736,670.833,NA,NA,NA,302.207,NA,NA,NA,380.688,2956.044,1227.549,538.464,NA,9318.258,NA,298.077,NA,NA,147.658,107.53,NA,NA,63.939,78.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.8_2021",3320.935,115.391,NA,NA,NA,NA,381.242,NA,102.273,NA,227.979,NA,NA,NA,NA,NA,402.401,248.039,687.526,NA,NA,NA,NA,NA,425.625,313.762,156.37,NA,NA,NA,136.314,NA,NA,NA,521.832,1108.457,116.46,NA,127.495,NA,NA,NA,NA,84.837,NA,149.124,NA,NA,146.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.5_2021",2787.114,177.494,NA,418.796,NA,NA,105.877,NA,175.133,NA,1487.95,NA,NA,NA,NA,NA,NA,NA,1118.167,NA,NA,NA,NA,NA,113.621,104.288,NA,NA,NA,NA,172.15,127.531,NA,NA,1682.083,7166.798,133.153,121.274,NA,NA,87.789,NA,NA,NA,NA,NA,71.438,NA,85.122,NA,NA,NA,116.999,NA,NA,NA,NA,NA,NA,156.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.10_2021",5537.024,351.618,876.274,NA,NA,NA,445.057,NA,186.569,168.099,1042.126,NA,NA,NA,NA,NA,424.994,NA,656.754,341.096,NA,NA,2256.244,NA,1768.169,369.423,204.333,NA,NA,91.808,94.776,NA,NA,NA,2254.971,3172.34,100.405,121.459,319.782,NA,NA,NA,NA,99.054,NA,NA,76.817,107.724,132.626,62.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.5_2021",2209.271,129.538,NA,NA,NA,NA,129.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.583,124.499,132.761,NA,NA,NA,NA,157.806,222.82,199.431,1274.738,NA,NA,160.882,NA,NA,NA,NA,73.685,2096.339,598.334,194.322,1394.178,NA,NA,NA,NA,722.157,179.204,322.906,NA,82.827,NA,74.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.5_2021",16610.456,332.98,335.124,NA,NA,NA,578.544,NA,NA,NA,600.071,206.611,NA,NA,NA,NA,1675.623,1015.644,3948.061,97.748,NA,NA,2402.887,NA,752.607,632.237,1240.769,NA,NA,112.067,187.503,NA,NA,NA,257.172,2118.676,85.293,574.744,NA,6521.632,NA,175.969,NA,256.923,NA,NA,71.308,167.14,129.192,113.85,NA,NA,119.39,103.988,NA,NA,NA,NA,116.119,290.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COW.1.2_2021",2620.046,NA,701.106,NA,NA,NA,415.842,NA,251.331,1328.144,3900.246,NA,266.742,NA,NA,NA,367.93,1286.464,319.066,21597.42,NA,NA,NA,NA,179.654,348.074,NA,443.382,NA,102.964,NA,246.11,NA,NA,108.551,2054.521,14920.518,757.079,891.143,NA,NA,1748.611,NA,133.398,NA,NA,144.33,169.784,61,150.931,NA,NA,400.052,NA,NA,NA,NA,NA,149.986,166.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.5_2021",14922.591,687.307,252.599,NA,NA,NA,2458.41,105.453,NA,NA,592.038,207.202,NA,NA,NA,NA,1147.159,746.807,4438.765,162.868,NA,NA,12486.552,237.98,2052.999,1212.783,701.675,NA,NA,278.078,76.698,153.397,NA,NA,1207.696,3106.147,187.077,408.944,1776.676,NA,94.294,NA,NA,859.948,NA,NA,NA,176.759,59.503,103.61,NA,NA,141.913,NA,NA,NA,NA,NA,NA,215.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.2_2021",3971.067,NA,NA,727.284,NA,NA,157.986,NA,NA,NA,161.792,NA,NA,NA,NA,NA,838.991,235.501,993.81,102.734,NA,NA,NA,NA,641.637,524.341,288.081,NA,NA,NA,355.138,212.449,NA,NA,318.796,4518.194,1825.453,103.917,541.814,NA,272.488,NA,NA,120.84,NA,78.731,NA,NA,64.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.7_2021",4033.546,234.065,700.718,NA,NA,NA,255.811,NA,NA,NA,480.154,NA,NA,NA,NA,NA,997.8,167.134,2512.75,200.199,NA,NA,NA,21311.358,1404.986,117.671,3480.531,NA,NA,NA,140.827,212.729,NA,NA,1060.118,362.707,NA,117.345,NA,4958.329,102.906,NA,102.617,NA,102.621,NA,74.432,NA,NA,NA,NA,NA,81.053,NA,NA,NA,NA,NA,NA,188.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.10_2021",2998.706,524.145,NA,NA,NA,NA,300.74,NA,106.243,812.384,2209.388,NA,161.432,NA,NA,NA,95.117,365.367,NA,10147.25,NA,NA,NA,247.566,137.077,211.528,NA,162.181,NA,358.515,270.325,382.272,NA,NA,111.711,1512.323,19772.135,742.97,1250.955,NA,591.168,NA,NA,89.764,NA,NA,NA,149.235,NA,65.349,NA,NA,211.261,NA,NA,NA,NA,NA,NA,221.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.2.4_2021",7300.003,176.104,NA,NA,NA,NA,834.483,NA,174.8,NA,300.719,118.808,NA,NA,NA,NA,1434.474,425.973,247.009,121.144,NA,NA,NA,NA,422.98,571.134,429.796,NA,NA,NA,163.173,NA,NA,NA,182.188,2417.751,207.411,197.299,3014.946,NA,NA,NA,NA,99.859,NA,188.135,1494.586,93.949,70.148,75.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.6_2021",3167.452,195.616,NA,NA,NA,NA,114.614,NA,NA,NA,114.251,NA,NA,NA,NA,NA,330.883,389.524,659.486,NA,NA,NA,NA,140.592,NA,93.969,227.624,NA,NA,151.916,NA,NA,NA,NA,156.92,826.307,387.033,122.701,1538.292,NA,NA,NA,NA,571.192,NA,NA,NA,NA,69.714,NA,NA,NA,104.711,84.13,NA,NA,NA,NA,NA,77.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.1_2021",749.102,NA,NA,204.905,NA,NA,320.62,NA,NA,530.895,1946.537,NA,NA,NA,NA,NA,NA,130.71,3401.465,NA,NA,301.046,NA,372.133,NA,113.8,NA,NA,NA,NA,NA,304.431,NA,NA,1100.942,NA,NA,150.825,NA,NA,338.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7_2021",1150.067,NA,678.934,NA,NA,NA,131.489,NA,NA,564.775,NA,NA,NA,NA,NA,NA,205.668,NA,750.456,160.555,NA,927.496,NA,NA,1168.17,425.151,118.17,NA,NA,NA,NA,NA,NA,NA,1152.442,827.363,138.514,490.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.2.9_2021",4452.624,125.789,NA,383.998,NA,NA,225.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.766,140.325,2775.9,NA,NA,NA,NA,NA,392.439,235.248,150.044,NA,NA,NA,239.995,NA,NA,NA,276.534,774.123,724.664,171.57,356.682,259.383,196.684,NA,NA,NA,NA,131.382,337.71,NA,58.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.6_2021",7748.054,165.791,NA,1474.406,NA,NA,263.785,NA,NA,NA,143.439,161.708,NA,NA,NA,NA,1550.977,888.253,849.985,224.704,NA,NA,8340.408,NA,1255.766,2051.104,670.674,NA,NA,NA,683.822,240.921,NA,NA,459.966,5677.916,NA,312.81,946.049,NA,72.849,NA,NA,217.751,NA,542.761,1320.289,203.603,92.612,171.652,NA,NA,186.856,NA,88.545,NA,NA,NA,NA,148.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.3_2021",10696.694,236.796,NA,NA,NA,NA,768.807,NA,NA,126.838,160.175,171.747,NA,NA,NA,NA,2197.887,776.972,1748.162,154.567,NA,NA,4626.598,NA,878.563,1197.619,1672.92,NA,NA,NA,456.524,NA,NA,NA,349.462,2451.717,NA,791.703,NA,10322.121,NA,NA,238.185,161.567,84.546,144.038,55.777,183.453,92.1,173.171,NA,NA,108.86,NA,87.626,NA,NA,NA,NA,84.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.2.3_2021",3685.832,159.125,NA,NA,NA,NA,2075.341,NA,NA,NA,196.813,NA,NA,6346.014,NA,NA,372.38,NA,1131.234,110.158,NA,NA,NA,NA,694.768,443.783,303.045,NA,NA,204.449,110.765,NA,NA,NA,2431.153,597,263.206,206.558,223.115,NA,NA,NA,NA,276.837,NA,NA,70.681,127.481,NA,NA,NA,NA,81.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.4_2021",14727.314,165.04,NA,NA,NA,NA,2375.969,NA,272.854,146.667,119.086,224.256,108.369,NA,119.16,NA,1224.074,772.719,292.409,13092.401,NA,NA,10031.797,NA,806.494,1366.459,728.724,194.104,NA,NA,610.846,NA,NA,NA,700.791,1100.103,93.998,772.067,393.48,NA,NA,472.853,NA,254.086,NA,NA,NA,100.548,78.817,NA,NA,NA,90.14,NA,NA,NA,NA,NA,NA,214.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.3_2021",1196.22,428.414,NA,NA,NA,NA,162.946,NA,NA,NA,118.138,NA,NA,NA,NA,NA,250.203,128.712,290.703,NA,NA,NA,NA,NA,275.744,NA,193.385,NA,NA,NA,111.821,NA,NA,NA,118.368,3207.245,540.443,88.316,670.149,NA,NA,NA,NA,124.155,NA,288.132,NA,65.404,NA,64.792,NA,NA,111.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.3_2021",2940.833,244.532,NA,324.117,NA,NA,974.259,NA,NA,183.471,616.038,NA,NA,6356.817,NA,NA,150.049,284.317,NA,10032.126,NA,NA,NA,NA,852.528,181,NA,112.876,NA,112.366,251.048,470.909,NA,NA,1923.471,806.396,NA,138.057,1024.23,NA,1023.315,NA,NA,257.611,NA,165.554,126.011,NA,79.732,NA,NA,NA,115.513,NA,NA,NA,NA,NA,NA,86.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.1.2_2021",2792.733,214.236,NA,NA,NA,NA,407.696,NA,103.757,519.128,1021.269,NA,NA,NA,NA,NA,NA,779.05,197.185,13448.179,NA,NA,NA,NA,320.381,431.472,NA,284.441,NA,93.599,228.893,NA,NA,NA,1603.733,6967.275,79.545,484.12,826.181,NA,NA,1403.986,NA,161.547,NA,NA,135.79,214.703,54.716,105.464,NA,NA,231.046,NA,NA,NA,NA,NA,157.488,392.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.4_2021",3480.45,118.016,NA,435.177,NA,NA,379.618,NA,NA,608.564,NA,NA,NA,NA,NA,NA,428.147,NA,206.818,222.573,NA,NA,NA,NA,1675.06,311.423,151.132,NA,NA,NA,146.13,NA,NA,NA,563.712,NA,144.854,78.411,254.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.7_2021",2065.638,120.665,NA,415.721,NA,NA,724.082,NA,162.884,927.575,2382.554,NA,100.309,NA,NA,NA,216.98,570.622,280.047,15582.903,NA,NA,NA,NA,370.755,368.648,NA,216.955,NA,84.462,NA,133.922,NA,NA,145.439,NA,11842.026,590.617,1209.846,NA,NA,1287.808,NA,298.936,89.781,174.666,NA,NA,NA,NA,NA,NA,364.048,NA,NA,NA,NA,NA,NA,106.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.4_2021",5336.865,NA,NA,1212.86,NA,NA,758.319,NA,NA,NA,1508.046,NA,NA,NA,NA,NA,1058.999,154.248,3766.896,101.632,NA,NA,4103.94,NA,644.255,592.617,394.298,NA,NA,NA,539.827,NA,NA,NA,185.001,6443.18,170.838,148.759,507.484,NA,227.591,NA,NA,245.36,77.16,456.078,1171.682,75.319,67.32,74.441,NA,NA,176.336,NA,NA,NA,NA,NA,NA,71.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.9_2021",7470.65,147.717,NA,1203.885,NA,NA,1709.296,NA,131.082,228.182,449.773,100.791,NA,NA,121.411,NA,2084.621,442.902,4788.852,131.689,NA,NA,4605.612,NA,1021.665,1100.695,1738.704,135.269,NA,NA,541.109,153.511,NA,NA,273.786,4717.438,NA,570.07,NA,7372.214,NA,394.935,NA,76.776,233.619,516.012,162.175,173.156,72.448,129.389,NA,NA,128.112,NA,NA,NA,NA,NA,NA,124.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.2_2021",9886.513,261.011,NA,NA,NA,NA,2185.338,NA,129.068,NA,NA,192.807,NA,NA,117.977,NA,1200.371,494.12,4016.031,146.399,NA,NA,8445.534,NA,1210.56,1389.373,435.425,NA,NA,NA,644.183,NA,NA,NA,562.628,582.468,272.896,408.853,801.263,NA,200.664,NA,NA,368.111,NA,155.972,1654.307,NA,59.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAT.1.1_2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.6_2021",10147.929,309.634,NA,NA,NA,NA,1458.132,NA,216.811,NA,322.047,200.535,NA,NA,111.204,NA,1521.287,485.436,NA,100.765,NA,NA,9801.085,NA,336.455,1174.936,1215.067,NA,NA,NA,672.019,84.331,NA,NA,598.028,1563.571,87.499,408.702,1091.207,NA,321.731,NA,NA,207.254,NA,NA,NA,174.841,103.633,98.063,NA,NA,170.402,NA,NA,NA,NA,NA,NA,72.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.1.6_2021",60.461,206.688,NA,NA,197.231,NA,1170.247,NA,NA,265.433,407.039,170.784,NA,NA,NA,NA,1440.37,1212.011,3046.4,143.087,NA,NA,8940.324,324.907,1715.53,971.448,1155.2,NA,NA,287.212,131.837,NA,NA,NA,240.195,4148.552,106.035,783.999,NA,6348.331,NA,NA,NA,1498.854,149.71,NA,NA,172.453,84.761,163.694,NA,NA,85.659,NA,146.996,NA,NA,NA,NA,101.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORV.1.10_2021",3454.726,198.716,495.021,NA,NA,NA,1046.776,NA,231.326,365.615,2258.85,NA,140.456,NA,145.926,NA,151.619,157.897,3627.649,NA,NA,NA,NA,NA,513.15,322.518,NA,NA,NA,89.945,165.316,148.084,NA,NA,137.953,2371.966,16221.829,310.061,1252.295,NA,232.001,NA,NA,130.58,NA,155.428,119.162,112.124,76.726,NA,NA,NA,701.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
